,0
id,0
listing_url,0
scrape_id,0
last_scraped,0
source,0
name,0
description,23
neighborhood_overview,11313
picture_url,0
host_id,0
host_url,0
host_name,117
host_since,117
host_location,5559
host_about,8424
host_response_time,2088
host_response_rate,2088
host_acceptance_rate,1153
host_is_superhost,15
host_thumbnail_url,117
host_picture_url,117
host_neighbourhood,18386
host_listings_count,117
host_total_listings_count,117
host_verifications,0
host_has_profile_pic,117
host_identity_verified,117
neighbourhood,11313
neighbourhood_cleansed,0
neighbourhood_group_cleansed,19655
latitude,0
longitude,0
property_type,0
room_type,0
accommodates,0
bathrooms,19655
bathrooms_text,16
bedrooms,503
beds,93
amenities,0
price,0
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,1
maximum_minimum_nights,1
minimum_maximum_nights,1
maximum_maximum_nights,1
minimum_nights_avg_ntm,1
maximum_nights_avg_ntm,1
calendar_updated,19655
has_availability,0
availability_30,0
availability_60,0
availability_90,0
availability_365,0
calendar_last_scraped,0
number_of_reviews,0
number_of_reviews_ltm,0
number_of_reviews_l30d,0
first_review,5227
last_review,5227
review_scores_rating,5227
review_scores_accuracy,5285
review_scores_cleanliness,5283
review_scores_checkin,5284
review_scores_communication,5285
review_scores_location,5284
review_scores_value,5285
license,1135
instant_bookable,0
calculated_host_listings_count,0
calculated_host_listings_count_entire_homes,0
calculated_host_listings_count_private_rooms,0
calculated_host_listings_count_shared_rooms,0
reviews_per_month,5227
